,PropertyAddress,propertyURL,beds,bathrooms,size,ber lower,CountyOrPostcode,County,PropertyType,price bin,currentAskingPrice
0," 36 Pairc Mhuire, Tullow, Co. Carlow, R93 W264",https://www.myhome.ie/residential/brochure/36-pairc-mhuire-tullow-co-carlow-r93-w264/4212207,3.0,1.0,160.91791178265737,E1,carlow,carlow,House,140000.0,132500.0
1," 47 Highfield Manor, Old Leighlin Road, Carlow, R93 E7N0",https://www.myhome.ie/residential/brochure/47-highfield-manor-old-leighlin-road-carlow-r93-e7n0/4212182,3.0,3.0,93.0,C1,carlow,carlow,House,180000.0,169500.0
2," 26 Centaur Court, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/26-centaur-court-carlow-town-carlow/4144265,2.0,2.0,45.0,C1,carlow,carlow,Apartment,100000.0,85000.0
3," 3 Millrace Court, Burrin Road, Carlow, R93 A9WO",https://www.myhome.ie/residential/brochure/3-millrace-court-burrin-road-carlow-r93-a9wo/4211879,3.0,1.0,86.0,B3,carlow,carlow,House,160000.0,147500.0
4," 14 The Paddocks, Brownshill Road, Carlow Town, Co Carlow, R93 N4C9",https://www.myhome.ie/residential/brochure/14-the-paddocks-brownshill-road-carlow-town-co-carlow-r93-n4c9/4211878,2.0,1.0,70.0,C3,carlow,carlow,House,180000.0,167500.0
5," 143 Duggan Ave. Graiguecullen Carlow , Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/143-duggan-ave-graiguecullen-carlow-carlow-town-carlow/4211622,3.0,2.0,160.91791178265737,D1,carlow,carlow,House,140000.0,130000.0
6," Aghade Estate, Tullow, Carlow",https://www.myhome.ie/residential/brochure/aghade-estate-tullow-carlow/4180949,6.0,6.0,160.91791178265737,EXEMPT,carlow,carlow,House,3260000.0,3250000.0
7," The Old School House, Regent Street, Bagenalstown, Co. Carlow, R21 D280",https://www.myhome.ie/residential/brochure/the-old-school-house-regent-street-bagenalstown-co-carlow-r21-d280/4211371,3.0,2.0,160.91791178265737,EXEMPT,carlow,carlow,House,380000.0,365000.0
8," 27 Pairc Mhuire, Bagenalstown, Carlow",https://www.myhome.ie/residential/brochure/27-pairc-mhuire-bagenalstown-carlow/4198176,2.0,1.0,160.91791178265737,F,carlow,carlow,House,140000.0,129950.0
9," Fairgreen, Bagenalstown, Carlow",https://www.myhome.ie/residential/brochure/fairgreen-bagenalstown-carlow/4189929,2.0,1.0,160.91791178265737,G,carlow,carlow,House,100000.0,90000.0
10," 31 Millennium Court, Tullow Road, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/31-millennium-court-tullow-road-carlow-town-carlow/4209837,3.0,3.0,120.0,D1,carlow,carlow,House,200000.0,185000.0
11," 6 Killeen Gardens, Killeen, Magney, Laois",https://www.myhome.ie/residential/brochure/6-killeen-gardens-killeen-magney-laois/4209881,3.0,3.0,94.0,C2,laois,laois,House,160000.0,150000.0
12," Friarswood, Pollerton, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/friarswood-pollerton-carlow-town-carlow/4189294,4.0,1.0,160.91791178265737,D1,carlow,carlow,House,200000.0,185000.0
13," 6 Laurel Park, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/6-laurel-park-carlow-town-carlow/4208474,4.0,2.0,100.0,C3,carlow,carlow,House,200000.0,189000.0
14," 29 Wolseley Court, Tullow, Co. Carlow, R93 TK52",https://www.myhome.ie/residential/brochure/29-wolseley-court-tullow-co-carlow-r93-tk52/4209652,4.0,3.0,160.91791178265737,C1,carlow,carlow,House,280000.0,268500.0
15," Inglenook, Ballywilliamroe, Bagenalstown, Co Carlow, R21Y956",https://www.myhome.ie/residential/brochure/inglenook-ballywilliamroe-bagenalstown-co-carlow-r21y956/4209441,4.0,1.0,160.91791178265737,D1,carlow,carlow,House,280000.0,268500.0
16," 13 Barrowville Court, Pembroke, Carlow, R93 E9V6",https://www.myhome.ie/residential/brochure/13-barrowville-court-pembroke-carlow-r93-e9v6/4209343,3.0,3.0,100.0,C1,carlow,carlow,House,180000.0,179950.0
17," 64 Monacurragh, Blackbog Road, Carlow, R93 DX85",https://www.myhome.ie/residential/brochure/64-monacurragh-blackbog-road-carlow-r93-dx85/4208966,3.0,1.0,120.0,E2,carlow,carlow,House,180000.0,179500.0
18," 28 The Rise, Ballymurphy, Tullow, Carlow",https://www.myhome.ie/residential/brochure/28-the-rise-ballymurphy-tullow-carlow/4208157,3.0,2.0,160.91791178265737,C3,carlow,carlow,House,180000.0,175000.0
19," 47 Sandhills, Hacketstown Road, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/47-sandhills-hacketstown-road-carlow-town-carlow/4207463,4.0,2.0,160.91791178265737,unk,carlow,carlow,House,200000.0,195000.0
20," St. Brigid's Crescent, Bagenalstown, Carlow",https://www.myhome.ie/residential/brochure/st-brigid-s-crescent-bagenalstown-carlow/4207621,2.0,1.0,160.91791178265737,F,carlow,carlow,House,100000.0,90000.0
21," No 5 Glebe, Clonmore, Hacketstown, Carlow",https://www.myhome.ie/residential/brochure/no-5-glebe-clonmore-hacketstown-carlow/3863560,3.0,1.0,61.958,G,carlow,carlow,House,60000.0,50000.0
22," College Green, Mortarstown, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/college-green-mortarstown-carlow-town-carlow/4198890,4.0,3.0,160.91791178265737,D1,carlow,carlow,House,220000.0,200000.0
23," Seskin Lower, Leighlinbridge, Carlow",https://www.myhome.ie/residential/brochure/seskin-lower-leighlinbridge-carlow/4190658,2.0,1.0,79.0,E1,carlow,carlow,House,200000.0,190000.0
24," Bourlum Wood, Green Road, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/bourlum-wood-green-road-carlow-town-carlow/4190715,4.0,3.0,160.91791178265737,C2,carlow,carlow,House,320000.0,300000.0
25,"  Cluain Riada, Browneshill, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/cluain-riada-browneshill-carlow-town-carlow/4190587,3.0,3.0,160.91791178265737,C3,carlow,carlow,House,220000.0,210000.0
26," 69 Ashfield, Black Bog Road, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/69-ashfield-black-bog-road-carlow-town-carlow/4203070,4.0,3.0,160.91791178265737,C3,carlow,carlow,House,200000.0,198500.0
27," Chez Nous, Ballinaboley, Leighlinbridge, Carlow",https://www.myhome.ie/residential/brochure/chez-nous-ballinaboley-leighlinbridge-carlow/4192282,4.0,2.0,195.0,F,carlow,carlow,House,220000.0,210000.0
28," Apt 5 Court Mews, Tullow, Co Carlow",https://www.myhome.ie/residential/brochure/apt-5-court-mews-tullow-co-carlow/4201631,1.0,1.0,160.91791178265737,E2,carlow,carlow,Apartment,80000.0,69950.0
29," Clochristic, Milford, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/clochristic-milford-carlow-town-carlow/4201097,2.0,1.0,70.0,G,carlow,carlow,House,140000.0,125000.0
30," 5 Mullaunmore, Ballon, Carlow",https://www.myhome.ie/residential/brochure/5-mullaunmore-ballon-carlow/4200431,4.0,3.0,137.72,C2,carlow,carlow,House,200000.0,195000.0
31," 20 Bourlum Court, Green Road, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/20-bourlum-court-green-road-carlow-town-carlow/4200050,4.0,2.0,124.0,C3,carlow,carlow,House,240000.0,229000.0
32," Gurteengrone, Castledermot Road, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/gurteengrone-castledermot-road-carlow-town-carlow/4008038,7.0,4.0,275.0,C2,carlow,carlow,House,400000.0,399000.0
33," 58 Feltham Hall, Blackbog Road, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/58-feltham-hall-blackbog-road-carlow-town-carlow/4198606,4.0,3.0,114.0,C3,carlow,carlow,House,280000.0,269500.0
34," 55 Feltham Hall, Blackbog Road, Carlow Town, Co Carlow, R93 Y9K3",https://www.myhome.ie/residential/brochure/55-feltham-hall-blackbog-road-carlow-town-co-carlow-r93-y9k3/4198373,4.0,3.0,127.0,C2,carlow,carlow,House,280000.0,279950.0
35," Knockdorish, Kilbride, Co Carlow",https://www.myhome.ie/residential/brochure/knockdorish-kilbride-co-carlow/4197433,4.0,2.2288135593220337,160.91791178265737,G,carlow,carlow,House,200000.0,185000.0
36," 3 Tullow Road, Nurney Village, Carlow, Co. Carlow, R93KH52",https://www.myhome.ie/residential/brochure/3-tullow-road-nurney-village-carlow-co-carlow-r93kh52/4197273,3.0,3.0,147.0,D2,carlow,carlow,House,260000.0,249950.0
37," 16 Park Gate, Tullow, Carlow",https://www.myhome.ie/residential/brochure/16-park-gate-tullow-carlow/4165773,4.0,3.0,160.91791178265737,B3,carlow,carlow,House,260000.0,255000.0
38," 13 Donn Or, Browneshill, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/13-donn-or-browneshill-carlow-town-carlow/4191116,4.0,3.0,180.0,B3,carlow,carlow,House,400000.0,395000.0
39," Type M, Milford Park, Ballinabranagh, Milford, Carlow Tow",https://www.myhome.ie/residential/brochure/type-m-milford-park-ballinabranagh-milford-carlow-town/4190640,4.0,3.0,166.8,B1,carlow,carlow,House,300000.0,280000.0
40," Blackbog Road , Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/blackbog-road-carlow-town-carlow/4187821,5.0,4.0,195.0,C2,carlow,carlow,House,460000.0,449500.0
41," Derelict Cottage On 3.1 Acres, Tomnasock, Old Leighlin, Co Carlow",https://www.myhome.ie/residential/brochure/derelict-cottage-on-3-1-acres-tomnasock-old-leighlin-co-carlow/4189908,1.0,2.2288135593220337,160.91791178265737,EXEMPT,carlow,carlow,House,120000.0,100000.0
42," 9 Mount Wolseley Court, Tullow, Carlow",https://www.myhome.ie/residential/brochure/9-mount-wolseley-court-tullow-carlow/4189893,4.0,2.0,170.0,C2,carlow,carlow,House,280000.0,268000.0
43," 63 Pairc Mhuire, Tullow, Carlow",https://www.myhome.ie/residential/brochure/63-pairc-mhuire-tullow-carlow/4182995,2.0,1.0,66.42,F,carlow,carlow,House,140000.0,129000.0
44," 10 Miner's Walk, Newtown Cross, Crettyard, Co Carlow, R93 E3E5",https://www.myhome.ie/residential/brochure/10-miner-s-walk-newtown-cross-crettyard-co-carlow-r93-e3e5/4185383,4.0,3.0,187.0,B2,carlow,carlow,House,240000.0,224950.0
45," Ballymurphy Rd, Tullow, Carlow",https://www.myhome.ie/residential/brochure/ballymurphy-rd-tullow-carlow/4039274,4.0,2.0,160.91791178265737,D2,carlow,carlow,House,280000.0,260000.0
46," 8 Tanner's Hall, Athy Road, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/8-tanner-s-hall-athy-road-carlow-town-carlow/4182257,2.0,2.0,160.91791178265737,C2,carlow,carlow,Apartment,120000.0,115000.0
47," Aghade, Tullow, Carlow",https://www.myhome.ie/residential/brochure/aghade-tullow-carlow/4182452,6.0,6.0,160.91791178265737,EXEMPT,carlow,carlow,House,860000.0,850000.0
48," Main Street, Kildavin, Carlow",https://www.myhome.ie/residential/brochure/main-street-kildavin-carlow/4154400,3.0,1.0,160.91791178265737,D2,carlow,carlow,House,160000.0,140000.0
49," 43 The Fairways, Pollerton, Carlow, R93P8K3",https://www.myhome.ie/residential/brochure/43-the-fairways-pollerton-carlow-r93p8k3/4182277,3.0,2.0,105.0,D1,carlow,carlow,House,200000.0,190000.0
50," 13 Rossmore View Graiguecullen, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/13-rossmore-view-graiguecullen-carlow-town-carlow/4180913,3.0,1.0,77.0,G,carlow,carlow,House,100000.0,99500.0
51," Tir Na nOg, Oldtown, Clonmore, Hacketstown, Carlow",https://www.myhome.ie/residential/brochure/tir-na-nog-oldtown-clonmore-hacketstown-carlow/4177819,3.0,2.0,160.91791178265737,G,carlow,carlow,House,160000.0,140000.0
52," ""The View"", Ballinagilky, Hacketstown, Carlow",https://www.myhome.ie/residential/brochure/the-view-ballinagilky-hacketstown-carlow/4176858,5.0,5.0,160.91791178265737,C1,carlow,carlow,House,320000.0,300000.0
53," Apartment 11, Rivercourt, Bagenalstown, Carlow",https://www.myhome.ie/residential/brochure/apartment-11-rivercourt-bagenalstown-carlow/4173300,3.0,2.0,160.91791178265737,C2,carlow,carlow,Apartment,100000.0,85000.0
54," 120 The Vale Portlaoise Rd. Graiguecullen , Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/120-the-vale-portlaoise-rd-graiguecullen-carlow-town-carlow/4173297,4.0,3.0,125.0,C2,carlow,carlow,House,200000.0,190000.0
55," 46 Mullaunmore, Ballon, Co Carlow, R93 K282",https://www.myhome.ie/residential/brochure/46-mullaunmore-ballon-co-carlow-r93-k282/4173240,4.0,3.0,145.0,C1,carlow,carlow,House,200000.0,199950.0
56," Mountneil, Rathvilly, Carlow",https://www.myhome.ie/residential/brochure/mountneil-rathvilly-carlow/4155547,3.0,2.0,160.91791178265737,unk,carlow,carlow,House,100000.0,89950.0
57," Apartment 4, Riverview, Tullow, Co. Carlow, R93 N504",https://www.myhome.ie/residential/brochure/apartment-4-riverview-tullow-co-carlow-r93-n504/4155603,1.0,1.0,160.91791178265737,D2,carlow,carlow,Apartment,80000.0,60000.0
58," No 4 Academy Court, Montgomery Street, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/no-4-academy-court-montgomery-street-carlow-town-carlow/4153668,3.0,1.0,160.91791178265737,D1,carlow,carlow,House,140000.0,135000.0
59," Grove Cottage, Raheen, Ballon, Carlow",https://www.myhome.ie/residential/brochure/grove-cottage-raheen-ballon-carlow/4147640,3.0,1.0,111.0,D1,carlow,carlow,House,200000.0,180000.0
60," Highfield, Dublin Road, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/highfield-dublin-road-carlow-town-carlow/4147689,4.0,2.0,160.91791178265737,E2,carlow,carlow,House,280000.0,275000.0
61," Bohermore, Bagenalstown, Co Carlow, R21N260",https://www.myhome.ie/residential/brochure/bohermore-bagenalstown-co-carlow-r21n260/4149534,4.0,2.0,260.1,C1,carlow,carlow,House,460000.0,450000.0
62," 61 Castlewood Gardens, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/61-castlewood-gardens-carlow-town-carlow/4148768,4.0,2.0,110.0,D1,carlow,carlow,House,240000.0,220000.0
63," 41 Mullaunmore, Ballon, Carlow",https://www.myhome.ie/residential/brochure/41-mullaunmore-ballon-carlow/4145794,4.0,2.0,160.91791178265737,C2,carlow,carlow,House,200000.0,195000.0
64," Constable Hill , Hacketstown, Carlow",https://www.myhome.ie/residential/brochure/constable-hill-hacketstown-carlow/4142217,5.0,4.0,280.0,D2,carlow,carlow,House,140000.0,135000.0
65," Shillelagh Road, Tullow, Carlow",https://www.myhome.ie/residential/brochure/shillelagh-road-tullow-carlow/4139461,4.0,4.0,319.0,C1,carlow,carlow,House,380000.0,369950.0
66," Rivervale, Clogrennane, Ballyhide, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/rivervale-clogrennane-ballyhide-carlow-town-carlow/4130457,6.0,4.0,202.0,C3,carlow,carlow,House,380000.0,365000.0
67," Sion, Bennekerry, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/sion-bennekerry-carlow-town-carlow/4124381,3.0,1.0,93.7,E2,carlow,carlow,House,180000.0,175000.0
68," Seskinryan, Bagenalstown, Co Carlow, R21WA18",https://www.myhome.ie/residential/brochure/seskinryan-bagenalstown-co-carlow-r21wa18/4121992,5.0,2.0,205.0,B2,carlow,carlow,House,340000.0,330000.0
69," 8 Court Mews, Bridge Street, Tullow, Carlow",https://www.myhome.ie/residential/brochure/8-court-mews-bridge-street-tullow-carlow/4114961,1.0,1.0,60.0,E1,carlow,carlow,Apartment,80000.0,60000.0
70," Apartment 14, Riverview, Tullow, Co. Carlow, R93 PY53",https://www.myhome.ie/residential/brochure/apartment-14-riverview-tullow-co-carlow-r93-py53/4115380,2.0,1.0,160.91791178265737,D1,carlow,carlow,Apartment,80000.0,70000.0
71," Apartment 13, Riverview, Inner Relief Road, Tullow, Co. Carlow",https://www.myhome.ie/residential/brochure/apartment-13-riverview-inner-relief-road-tullow-co-carlow/4115151,1.0,1.0,160.91791178265737,D1,carlow,carlow,Apartment,80000.0,68500.0
72," Ballymartin, Borris, Carlow",https://www.myhome.ie/residential/brochure/ballymartin-borris-carlow/4111444,7.0,2.0,223.68,C3,carlow,carlow,House,280000.0,260000.0
73," ""Rus In Urbe"", Regent Street, Bagenalstown, Carlow",https://www.myhome.ie/residential/brochure/rus-in-urbe-regent-street-bagenalstown-carlow/4112602,4.0,2.0,160.91791178265737,C3,carlow,carlow,House,500000.0,495000.0
74," Grinawn, Station Road, Bagenalstown, Co Carlow",https://www.myhome.ie/residential/brochure/grinawn-station-road-bagenalstown-co-carlow/4113629,5.0,3.0,213.9,E1,carlow,carlow,House,340000.0,325000.0
75," Rutland Tce, Bennekerry, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/rutland-tce-bennekerry-carlow-town-carlow/4109995,4.0,1.0,120.0,D2,carlow,carlow,House,240000.0,239500.0
76," Type L, Milford Park, Ballinabranagh, Milford, Co. Carlow",https://www.myhome.ie/residential/brochure/type-l-milford-park-ballinabranagh-milford-co-carlow/4109811,4.0,3.0,175.9,B1,carlow,carlow,House,300000.0,285000.0
77," Abbey Street, Tullow, Carlow",https://www.myhome.ie/residential/brochure/abbey-street-tullow-carlow/4109520,2.0,1.0,160.91791178265737,unk,carlow,carlow,House,120000.0,119000.0
78," Woodview, Tomard Lower, Milford, Carlow, R93 N8C3",https://www.myhome.ie/residential/brochure/woodview-tomard-lower-milford-carlow-r93-n8c3/4107944,4.0,2.0,160.91791178265737,C2,carlow,carlow,House,300000.0,297500.0
79," New Road, Ballyknockan, Leighlinbridge, Carlow",https://www.myhome.ie/residential/brochure/new-road-ballyknockan-leighlinbridge-carlow/4103932,3.0,2.0,160.91791178265737,C2,carlow,carlow,House,220000.0,200000.0
80," 37 Brookhurst, Castle Oaks, Carlow Town, Carlow",https://www.myhome.ie/residential/brochure/37-brookhurst-castle-oaks-carlow-town-carlow/4106506,3.0,2.0,103.0,C1,carlow,carlow,House,180000.0,179000.0
